publishing_year,book_name,author,language_code,author_rating,book_average_rating,book_ratings_count,genre,publisher,book_id
2013,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,eng,Intermediate,4.32,113565,genre fiction,Hachette Book Group,80
1977,The Silmarillion,"J.R.R. Tolkien, Christopher Tolkien, Ted Nasmith",eng,Intermediate,3.87,134106,genre fiction,Random House LLC,81
1987,The Drawing of the Three,Stephen King,eng,Intermediate,4.23,139052,nonfiction,HarperCollins Publishers,82
2008,The Forgotten Garden,Kate Morton,en-GB,Intermediate,4.12,138377,genre fiction,"Amazon Digital Services,  Inc.",83
1925,Der ProzeÃŸ,"Franz Kafka, Edwin Muir, Willa Muir, Max Brod",eng,Intermediate,3.98,131856,genre fiction,"Amazon Digital Services,  Inc.",84
2002,This Lullaby,Sarah Dessen,eng,Intermediate,4.03,151829,genre fiction,HarperCollins Publishers,85
2000,Plain Truth,Jodi Picoult,eng,Intermediate,3.97,128406,genre fiction,"Amazon Digital Services,  Inc.",86
2010,Orange Is the New Black: My Year in a Women's Prison,Piper Kerman,eng,Intermediate,3.7,127186,fiction,"Amazon Digital Services,  Inc.",87
1902,The Hound of the Baskervilles,"Arthur Conan Doyle, Anne Perry",eng,Intermediate,4.09,154517,genre fiction,Macmillan,88
2011,"Thinking, Fast and Slow",Daniel Kahneman,eng,Intermediate,4.08,136950,genre fiction,"Amazon Digital Services,  Inc.",89
1982,The Mists of Avalon,Marion Zimmer Bradley,eng,Intermediate,4.12,157736,genre fiction,"Amazon Digital Services,  Inc.",90
1970,"Are You There God? It's Me, Margaret",Judy Blume,eng,Intermediate,3.89,151789,genre fiction,"Amazon Digital Services,  Inc.",91
2002,Nights in Rodanthe,Nicholas Sparks,eng,Intermediate,3.82,129807,genre fiction,"Amazon Digital Services,  Inc.",92
2014,Mr. Mercedes,Stephen King,eng,Intermediate,3.92,125847,genre fiction,Macmillan,93
2007,All Together Dead,Charlaine Harris,eng,Intermediate,4.05,162689,genre fiction,Random House LLC,94
1997,Midwives,Chris Bohjalian,en-US,Intermediate,3.97,133155,genre fiction,Random House LLC,95
1985,The Polar Express,Chris Van Allsburg,en-US,Intermediate,4.29,168001,nonfiction,"Amazon Digital Services,  Inc.",96
1989,The True Story of the Three Little Pigs,"Jon Scieszka, Lane Smith",en-GB,Intermediate,4.29,141945,genre fiction,"Amazon Digital Services,  Inc.",97
1987,Patriot Games,Tom Clancy,eng,Intermediate,4.11,141674,genre fiction,"Amazon Digital Services,  Inc.",98
1998,Veronika decide morrer,"Paulo Coelho, Margaret Jull Costa",eng,Intermediate,3.69,111856,genre fiction,Penguin Group (USA) LLC,99
2013,"Lean In: Women, Work, and the Will to Lead","Sheryl Sandberg, Nell Scovell",eng,Intermediate,3.94,135635,genre fiction,"Amazon Digital Services,  Inc.",100
2005,Dead as a Doornail ,Charlaine Harris,eng,Intermediate,4.01,169560,genre fiction,Penguin Group (USA) LLC,101
2011,"Shatter Me (Shatter Me, #1)",Tahereh Mafi,en-US,Intermediate,4.01,176433,fiction,"Amazon Digital Services,  Inc.",102
1959,Starship Troopers,Robert A. Heinlein,en-CA,Intermediate,3.99,136886,genre fiction,Hachette Book Group,103
2011,I've Got Your Number,Sophie Kinsella,eng,Intermediate,3.93,144533,genre fiction,"Amazon Digital Services,  Inc.",104
1991,Sofies Verden,"Jostein Gaarder, Paulette MÃ¸ller",eng,Intermediate,3.88,109692,genre fiction,Penguin Group (USA) LLC,105
2011,,Mark Cotta Vaz,eng,Intermediate,4.3,188136,genre fiction,Penguin Group (USA) LLC,106
1950,The Martian Chronicles,Ray Bradbury,en-US,Intermediate,4.12,143236,genre fiction,"Amazon Digital Services,  Inc.",107
2010,A Visit From the Goon Squad,Jennifer Egan,eng,Intermediate,3.64,120126,genre fiction,Macmillan,108
1880,Heidi,"Johanna Spyri, Angelo  Rinaldi, Beverly Cleary",eng,Intermediate,3.97,144497,genre fiction,Penguin Group (USA) LLC,109
2002,Prey,Michael Crichton,,Intermediate,3.72,131352,genre fiction,"Amazon Digital Services,  Inc.",110
1956,The Last Battle,C.S. Lewis,eng,Intermediate,4.02,158701,genre fiction,"Amazon Digital Services,  Inc.",111
2007,World Without End,Ken Follett,eng,Intermediate,4.23,128715,genre fiction,Random House LLC,112
2008,Chosen: A House of Night Novel,"P.C. Cast, Kristin Cast",en-US,Intermediate,3.9,180961,fiction,"Amazon Digital Services,  Inc.",113
2012,Slammed,Colleen Hoover,eng,Intermediate,4.29,153882,genre fiction,"Amazon Digital Services,  Inc.",114
2007,"Beastly (Beastly, #1, Kendra Chronicles, #1)",Alex Flinn,eng,Intermediate,3.84,150003,genre fiction,"Amazon Digital Services,  Inc.",115
1390,Tales of Caunterbury,"Geoffrey Chaucer, Nevill Coghill",eng,Novice,3.48,148480,genre fiction,"Amazon Digital Services,  Inc.",116
2006,Baby Proof,Emily Giffin,en-US,Intermediate,3.71,124371,nonfiction,Macmillan,117
2011,Inheritance,Christopher Paolini,en-US,Intermediate,4.08,146905,nonfiction,Random House LLC,118
2009,ã„ã¡ãã‚…ã†ã¯ã¡ã‚ˆã‚“ [Ichi-KyÅ«-Hachi-Yon],"Haruki Murakami, Jay Rubin, Philip Gabriel",eng,Intermediate,3.89,125195,genre fiction,"Amazon Digital Services,  Inc.",119
